Die Lit, Playboi Carti
ASTROWORLD, Travis Scott
Drip or Drown 2, Gunna
Playboi Carti, Playboi Carti
DS2 (Deluxe), Future
Drip Harder, Lil Baby
The WIZRD, Future
What a Time To Be Alive, Drake
Perfect Ten, Mustard
88GLAM RELOADED, 88GLAM
SATURATION II, BROCKHAMPTON
Birds In The Trap Sing McKnight, Travis Scott
Please Excuse Me For Being Antisocial, Roddy Ricch
Luv Is Rage 2, Lil Uzi Vert
Not All Heroes Wear Capes, Metro Boomin
Without Warning, 21 Savage
Starboy, The Weeknd
Evol, Future
The Life of Pablo, Kanye West
But I Hope You're Doing Well, Mixed Matches
1000 gecs, 100 gecs
ONEPOINTFIVE, Aminé
Random Access Memories, Daft Punk
Donny Womack, Don Toliver
Yeezus, Kanye West
Freewave 3, Lucki
SATURATION, BROCKHAMPTON
FUTURE, Future
Rich Ni**a Timeline, Migos
Lil Boat 2, Lil Yachty
days b4 iii, Lucki
Eternal Atake, Lil Uzi Vert
Culture, Migos
Discovery, Daft Punk
The Big Chang Theory, NEF The Pharaoh
Long Live Mexico, Lil Keed
No Melody, Splurge
The Real Goat, Lil Gotit
Harder Than Ever, Lil Baby
SATURATION III, BROCKHAMPTON
East Memphis Maniac, Xavier Wulf
Rodeo (Deluxe), Travis Scott
Goodbye & Good Riddance, Juice WRLD
The Life Of Pi'erre 4, Pi’erre Bourne
Platinum Fire (Deluxe), Arin Ray
ICEDANCER, Bladee
If You're Reading This It's Too Late, Drake
DIE FOR MY BITCH, Baby Keem
SUPER SLIMEY, Future
Pretty Girls Like Trap Music, 2 Chainz	
Graduation, Kanye West
Kids See Ghosts, Kids See Ghosts
Adventure (Deluxe), Madeon
Nothing Was The Same (Deluxe), Drake
